DATE,PLAYER,PLAYER ROLE,OPP,PREDICTION,BOOK LINE,OVER/UNDER,ACTUAL,DIFFERENCE,% ERROR,NOTES,TYPE,TIER,HIT/MISS,# TRAINED ON,R^2,,,,,,,,,,
7/28/2026,Chelsea Gray,Creator,POR,15.36,11.5,OVER,17,1.64,,,PTS,LOCK,Hit,,-0.1533,,,,,,,,,,
7/28/2026,Jonquel Jones,Secondary Scorer,LA,2.36,1.5,OVER,1,-1.36,,,FG3M,LOCK,Miss,,-0.1987,,,,,,,,,,
7/28/2026,Chelsea Gray,Creator,POR,2.66,1.5,OVER,2,-0.66,,,FG3M,STRONG,Hit,,-0.1994,,,,,,,,,,
7/28/2026,Kelsey Mitchell,Secondary Scorer,SEA,23.62,21.5,OVER,28,4.38,,,PTS,LEAN,Hit,,-0.2328,,,,,,,,,,
7/28/2026,Jonquel Jones,Secondary Scorer,LA,16.48,14.5,OVER,9,-7.48,,,PTS,LOCK,Miss,,-0.2473,,,,,,,,,,
7/28/2026,Breanna Stewart,Engine,LA,24.21,21.5,OVER,29,4.79,,,PTS,LOCK,Hit,,-0.4128,,,,,,,,,,
7/28/2026,Sonia Citron,Engine,CON,5.56,3.5,OVER,3,-2.56,,,REB,LEAN,Miss,,-0.4197,,,,,,,,,,
7/28/2026,Marina Mabrey,Engine,MIN,3.26,3.5,UNDER,6,2.74,,,AST,LEAN,Miss,,-0.5157,,,,,,,,,,
7/28/2026,Marina Mabrey,Secondary Scorer,MIN,3.06,3.5,UNDER,8,4.94,,,REB,STRONG,Miss,,-0.5642,,,,,,,,,,
7/28/2026,A'ja Wilson,Engine,POR,30.82,27.5,OVER,28,-2.82,,,PTS,LOCK,Hit,,-0.6279,,,,,,,,,,
7/28/2026,Marina Mabrey,Engine,MIN,3.69,2.5,OVER,3,-0.69,,,FG3M,LOCK,Hit,,-0.6483,,,,,,,,,,
7/28/2026,Kiki Iriafen,Secondary Scorer,CON,18.45,13.5,OVER,20,1.55,,,PTS,STRONG,Hit,,-0.7553,,,,,,,,,,
7/28/2026,Courtney Williams,Creator,TOR,19.44,13.5,OVER,5,-14.44,,,PTS,LOCK,Miss,,-0.8931,,,,,,,,,,
7/28/2026,Courtney Williams,Creator,TOR,2.22,1.5,OVER,1,-1.22,,,FG3M,STRONG,Miss,,-0.8984,,,,,,,,,,
7/28/2026,Bridget Carleton,Specialist,LV,1.68,2.5,UNDER,3,1.32,,,FG3M,LOCK,Miss,,-1.0606,,,,,,,,,,
7/28/2026,Kelsey Mitchell,Secondary Scorer,SEA,3.38,2.5,OVER,2,-1.38,,,AST,STRONG,Miss,,-1.516,,,,,,,,,,
7/28/2026,Aliyah Boston,Secondary Scorer,SEA,10.04,8.5,OVER,2,-8.04,,,REB,LOCK,Miss,,-1.6678,,,,,,,,,,
7/28/2026,Carla Leite,Creator,LV,17.88,15.5,OVER,11,-6.88,,,PTS,STRONG,Miss,,-1.7012,,,,,,,,,,
7/28/2026,Carla Leite,Creator,LV,0.89,0.5,OVER,1,0.11,,,FG3M,LOCK,Hit,,-1.76,,,,,,,,,,
7/28/2026,Chelsea Gray,Creator,POR,4.13,3.5,OVER,1,-3.13,,,REB,LOCK,Miss,,-1.8385,,,,,,,,,,
7/28/2026,Aneesah Morrow,Connector,WAS,12.62,9.5,OVER,21,8.38,,,PTS,LEAN,Hit,,-2.4603,,,,,,,,,,
7/28/2026,Natasha Howard,Rebounding/Defense,TOR,14.85,12.5,OVER,13,-1.85,,,PTS,LOCK,Hit,,-2.7136,,,,,,,,,,
7/28/2026,Kayla McBride,Specialist,TOR,2.7,2.5,OVER,4,1.3,,,AST,STRONG,Hit,,-4.9805,,,,,,,,,,
7/30/2026,Jackie Young,Secondary Scorer,NYL,20.8,17.5,OVER,29,8.2,,,PTS,STRONG,Hit,,0.1388,,,,,,,,,,
7/30/2026,A'ja Wilson,Engine,NYL,1.2,0.5,OVER,1,-0.2,,,FG3M,LOCK,Hit,,0.081,,,,,,,,,,
7/30/2026,Olivia Miles,Engine,TOR,2.1,1.5,OVER,0,-2.1,,,FG3M,STRONG,Miss,,0.068,,,,,,,,,,
7/30/2026,Chelsea Gray,Creator,NYL,7.3,6.5,OVER,4,-3.3,,,AST,LOCK,Miss,,0.0563,,,,,,,,,,
7/30/2026,Kamilla Cardoso,Engine,CON,7,8.5,UNDER,6,-1,,,REB,LEAN,Hit,,-0.0017,,,,,,,,,,
7/30/2026,Natasha Howard,Rebounding/Defense,TOR,2.9,2.5,OVER,4,1.1,,,AST,LOCK,Hit,,-0.0052,,,,,,,,,,
7/30/2026,Marina Mabrey,Engine,MIN,3.1,3.5,UNDER,3,-0.1,,,REB,STRONG,Hit,,-0.0414,,,,,,,,,,
7/30/2026,Natasha Howard,Rebounding/Defense,TOR,7.5,6.5,OVER,8,0.5,,,REB,LOCK,Hit,,-0.0517,,,,,,,,,,
7/30/2026,Breanna Stewart,Engine,LV,8.3,7.5,OVER,11,2.7,,,REB,STRONG,Hit,,-0.088,,,,,,,,,,
7/30/2026,Olivia Nelson-Ododa,Rebounding/Defense,CHI,2.1,2.5,UNDER,1,-1.1,,,AST,LEAN,Hit,,-0.1571,,,,,,,,,,
7/30/2026,Jewell Loyd,Bench,NYL,2.4,1.5,OVER,2,-0.4,,,FG3M,LOCK,Hit,,-0.1604,,,,,,,,,,
7/30/2026,Kamilla Cardoso,Engine,CON,2.7,2.5,OVER,1,-1.7,,,AST,LEAN,Miss,,-0.1648,,,,,,,,,,
7/30/2026,Olivia Miles,Engine,TOR,4.8,4.5,OVER,3,-1.8,,,REB,STRONG,Miss,,-0.1796,,,,,,,,,,
7/30/2026,Jonquel Jones,Secondary Scorer,LV,9.1,8.5,OVER,7,-2.1,,,REB,LEAN,Miss,,-0.2018,,,,,,,,,,
7/30/2026,Sabrina Ionescu,Secondary Scorer,LV,5.4,3.5,OVER,4,-1.4,,,REB,STRONG,Hit,,-0.2359,,,,,,,,,,
7/30/2026,Jackie Young,Secondary Scorer,NYL,2.9,1.5,OVER,3,0.1,,,FG3M,LOCK,Hit,,-0.2958,,,,,,,,,,
7/30/2026,Natasha Cloud,Specialist,CON,0.8,1.5,UNDER,0,-0.8,,,FG3M,LEAN,Hit,,-0.3026,,,,,,,,,,
7/30/2026,Natasha Cloud,Specialist,CON,3.8,6.5,UNDER,5,1.2,,,AST,STRONG,Hit,,-0.3365,,,,,,,,,,
7/30/2026,Jonquel Jones,Secondary Scorer,LV,1.6,1.5,OVER,0,-1.6,,,FG3M,STRONG,Miss,,-0.3939,,,,,,,,,,
7/30/2026,Kayla McBride,Specialist,TOR,3.9,2.5,OVER,0,-3.9,,,REB,LOCK,Miss,,-0.4556,,,,,,,,,,
7/30/2026,Jewell Loyd,Bench,NYL,11.1,9.5,OVER,6,-5.1,,,PTS,STRONG,Miss,,-0.4638,,,,,,,,,,
7/30/2026,Marina Mabrey,Engine,MIN,3.2,3.5,UNDER,4,0.8,,,AST,LEAN,Miss,,-0.5055,,,,,,,,,,
7/30/2026,A'ja Wilson,Engine,NYL,30.2,25.5,OVER,33,2.8,,,PTS,STRONG,Hit,,-0.6201,,,,,,,,,,
7/30/2026,Kayla McBride,Specialist,TOR,21.1,18.5,OVER,13,-8.1,,,PTS,LOCK,Miss,,-0.6312,,,,,,,,,,
7/30/2026,Chelsea Gray,Creator,NYL,1,1.5,UNDER,4,3,,,FG3M,LOCK,Miss,,-0.6551,,,,,,,,,,
7/30/2026,Breanna Stewart,Engine,LV,0.7,0.5,OVER,1,0.3,,,FG3M,LOCK,Hit,,-0.7304,,,,,,,,,,
7/30/2026,Marina Mabrey,Engine,MIN,3.6,2.5,OVER,2,-1.6,,,FG3M,LOCK,Miss,,-0.8002,,,,,,,,,,
7/30/2026,Courtney Williams,Creator,TOR,15,11.5,OVER,16,1,,,PTS,LOCK,Hit,,-0.946,,,,,,,,,,
7/30/2026,Sabrina Ionescu,Secondary Scorer,LV,6.1,5.5,OVER,5,-1.1,,,AST,LEAN,Miss,,-1.3667,,,,,,,,,,
7/30/2026,Courtney Williams,Creator,TOR,7.6,4.5,OVER,3,-4.6,,,REB,LOCK,Miss,,-1.5776,,,,,,,,,,
7/30/2026,Pauline Astier,Creator,LV,12.6,8.5,OVER,19,6.4,,,PTS,STRONG,Hit,,-1.7569,,,,,,,,,,
7/30/2026,Courtney Williams,Creator,TOR,1.6,0.5,OVER,1,-0.6,,,FG3M,STRONG,Hit,,-1.7917,,,,,,,,,,
7/31/2026,Caitlin Clark,Engine,POR,7.1,8.5,UNDER,10,2.9,,,AST,LOCK,Miss,,0.2213,,,,,,,,,,
7/31/2026,Natisha Hiedeman,Creator,ATL,17.1,15.5,OVER,23,5.9,,,PTS,LEAN,Hit,,0.0235,,,,,,,,,,
7/31/2026,Jordin Canada,Creator,SEA,3.2,3.5,UNDER,4,0.8,,,REB,STRONG,Miss,,-0.0228,,,,,,,,,,
7/31/2026,Awa Fam,Connector,ATL,13,11.5,OVER,8,-5,,,PTS,LEAN,Miss,,-0.0792,,,,,,,,,,
7/31/2026,Sonia Citron,Engine,DAL,1,1.5,UNDER,0,-1,,,FG3M,LEAN,Hit,,-0.1293,,,,,,,,,,
7/31/2026,Allisha Gray,Secondary Scorer,SEA,3,3.5,UNDER,3,0,,,REB,LOCK,Hit,,-0.146,,,,,,,,,,
7/31/2026,Paige Bueckers,Engine,WAS,1.7,1.5,OVER,2,0.3,,,FG3M,STRONG,Hit,,-0.1601,,,,,,,,,,
7/31/2026,Shakira Austin,Secondary Scorer,DAL,8.8,9.5,UNDER,10,1.2,,,REB,LEAN,Miss,,-0.1609,,,,,,,,,,
7/31/2026,Flau'jae Johnson,Specialist,ATL,2.9,2.5,OVER,3,0.1,,,AST,LEAN,Hit,,-0.2099,,,,,,,,,,
7/31/2026,Awa Fam,Connector,ATL,2.5,1.5,OVER,1,-1.5,,,FG3M,STRONG,Miss,,-0.2606,,,,,,,,,,
7/31/2026,Jessica Shepard,Rebounding/Defense,WAS,14.9,13.5,OVER,8,-6.9,,,PTS,LEAN,Miss,,-0.2919,,,,,,,,,,
7/31/2026,Allisha Gray,Secondary Scorer,SEA,1.8,1.5,OVER,1,-0.8,,,FG3M,STRONG,Miss,,-0.2927,,,,,,,,,,
7/31/2026,Angel Reese,Engine,SEA,2.3,2.5,UNDER,2,-0.3,,,AST,LEAN,Hit,,-0.3067,,,,,,,,,,
7/31/2026,Arike Ogunbowale,Secondary Scorer,WAS,1.4,1.5,UNDER,3,1.6,,,FG3M,LEAN,Miss,,-0.3815,,,,,,,,,,
7/31/2026,Rhyne Howard,Secondary Scorer,SEA,3.7,4.5,UNDER,2,-1.7,,,REB,LOCK,Hit,,-0.4871,,,,,,,,,,
7/31/2026,Bridget Carleton,Specialist,IND,14.2,12.5,OVER,26,11.8,,,PTS,LOCK,Hit,,-0.5591,,,,,,,,,,
7/31/2026,Carla Leite,Creator,IND,2.2,2.5,UNDER,2,-0.2,,,REB,LEAN,Hit,,-0.568,,,,,,,,,,
7/31/2026,Jessica Shepard,Rebounding/Defense,WAS,4.9,5.5,UNDER,8,3.1,,,AST,LEAN,Miss,,-0.8803,,,,,,,,,,
7/31/2026,Arike Ogunbowale,Secondary Scorer,WAS,2.4,3.5,UNDER,2,-0.4,,,AST,LEAN,Hit,,-0.9119,,,,,,,,,,
7/31/2026,Arike Ogunbowale,Secondary Scorer,WAS,2.1,2.5,UNDER,2,-0.1,,,REB,LEAN,Hit,,-0.9144,,,,,,,,,,
7/31/2026,Carla Leite,Connector,IND,15.7,14.5,OVER,20,4.3,,,PTS,STRONG,Hit,,-0.9639,,,,,,,,,,
7/31/2026,Aliyah Boston,Secondary Scorer,POR,1.3,1.5,UNDER,0,-1.3,,,FG3M,STRONG,Hit,,-0.9665,,,,,,,,,,
7/31/2026,Kelsey Mitchell,Secondary Scorer,POR,2.9,2.5,OVER,4,1.1,,,FG3M,STRONG,Hit,,-1.0122,#REF!,,,,,,,,,
7/31/2026,Caitlin Clark,Engine,POR,1.6,2.5,UNDER,2,0.4,,,FG3M,STRONG,Hit,,-1.025,#REF!,,,,,,,,,
7/31/2026,Jordin Canada,Creator,SEA,0.8,0.5,OVER,0,-0.8,,,FG3M,STRONG,Miss,,-1.1779,#REF!,,,,,,,,,
7/31/2026,Aliyah Boston,Secondary Scorer,POR,9.2,8.5,OVER,9,-0.2,,,REB,LEAN,Hit,,-1.7146,#REF!,,,,,,,,,
7/31/2026,Awa Fam,Connector,ATL,4.4,5.5,UNDER,9,4.6,,,REB,LEAN,Miss,,-2.5175,#REF!,,,,,,,,,
7/31/2026,Caitlin Clark,Engine,POR,3.7,3.5,OVER,10,6.3,,,REB,LEAN,Hit,,-2.7383,#REF!,,,,,,,,,
7/31/2026,Rhyne Howard,Secondary Scorer,SEA,4.3,2.5,OVER,3,-1.3,,,FG3M,STRONG,Hit,,-3.0033,#REF!,,,,,,,,,
7/31/2026,Azzi Fudd,Specialist,WAS,1.1,2.5,UNDER,2,0.9,,,FG3M,STRONG,Hit,,-14.4606,,,,,,,,,,
8/1/2026,A'ja Wilson,Engine,CHI,1.1,0.5,OVER,1,-0.1,,,FG3M,LEAN,Hit,,0.1362,,,,,,,,,,
8/1/2026,Breanna Stewart,Engine,PHX,12,8.5,OVER,3,-9,,,REB,LOCK,Miss,,-0.1371,,,,,,,,,,
8/1/2026,A'ja Wilson,Engine,CHI,29.3,27.5,OVER,36,6.7,,,PTS,STRONG,Hit,,0.1137,,,,,,,,,,
8/1/2026,Breanna Stewart,Engine,PHX,25.1,22.5,OVER,14,-11.1,,,PTS,STRONG,Miss,,-0.0421,,,,,,,,,,
8/1/2026,Jackie Young,Secondary Scorer,CHI,4.6,3.5,OVER,11,6.4,,,REB,LOCK,Hit,,-0.4962,,,,,,,,,,
